iter	Passed	Remaining
0	165	165615
1	171	85431
2	180	60028
3	184	45817
4	187	37243
5	189	31423
6	192	27244
7	194	24096
8	196	21593
9	198	19603
10	199	17965
11	201	16586
12	202	15401
13	204	14394
14	205	13523
15	207	12753
16	208	12060
17	209	11447
18	211	10901
19	212	10409
20	213	9965
21	214	9546
22	215	9166
23	216	8813
24	217	8494
25	218	8196
26	219	7921
27	220	7664
28	221	7425
29	222	7200
30	223	6992
31	224	6795
32	225	6611
33	226	6439
34	227	6277
35	228	6126
36	229	5981
37	230	5842
38	231	5709
39	232	5582
40	233	5463
41	234	5349
42	235	5240
43	236	5136
44	237	5037
45	238	4943
46	239	4852
47	240	4766
48	241	4682
49	242	4602
50	243	4523
51	244	4449
52	245	4379
53	246	4311
54	247	4245
55	248	4182
56	249	4121
57	250	4062
58	251	4003
59	251	3946
60	252	3892
61	253	3841
62	254	3792
63	255	3742
64	256	3695
65	257	3650
66	259	3606
67	260	3564
68	261	3522
69	261	3479
70	262	3439
71	263	3400
72	264	3362
73	265	3324
74	266	3289
75	267	3253
76	268	3219
77	269	3186
78	270	3153
79	271	3120
80	272	3091
81	273	3061
82	274	3032
83	275	3002
84	276	2974
85	277	2947
86	278	2920
87	279	2894
88	280	2868
89	281	2843
90	282	2819
91	283	2794
92	284	2770
93	285	2746
94	285	2724
95	286	2701
96	287	2680
97	288	2658
98	289	2635
99	290	2617
100	292	2599
101	293	2581
102	294	2563
103	295	2544
104	296	2525
105	297	2509
106	298	2492
107	299	2475
108	300	2458
109	301	2440
110	302	2423
111	303	2407
112	304	2391
113	305	2374
114	306	2358
115	307	2342
116	308	2327
117	309	2312
118	310	2297
119	311	2281
120	312	2267
121	312	2252
122	313	2238
123	314	2224
124	315	2211
125	316	2198
126	317	2185
127	318	2172
128	319	2159
129	320	2147
130	321	2134
131	322	2122
132	323	2110
133	324	2097
134	325	2085
135	326	2074
136	327	2062
137	328	2051
138	329	2040
139	330	2028
140	331	2019
141	332	2008
142	332	1994
143	333	1985
144	334	1975
145	335	1964
146	336	1954
147	337	1944
148	338	1935
149	339	1925
150	340	1915
151	341	1904
152	342	1894
153	343	1885
154	344	1876
155	345	1867
156	346	1858
157	347	1849
158	347	1840
159	348	1831
160	349	1821
161	349	1810
162	350	1801
163	351	1792
164	352	1784
165	353	1775
166	354	1767
167	355	1760
168	356	1752
169	357	1744
170	358	1736
171	358	1727
172	359	1719
173	361	1715
174	362	1710
175	364	1705
176	365	1700
177	367	1695
178	368	1690
179	370	1688
180	372	1684
181	373	1677
182	374	1670
183	375	1664
184	375	1656
185	377	1649
186	377	1643
187	379	1637
188	379	1630
189	380	1623
190	381	1617
191	382	1610
192	383	1602
193	384	1596
194	384	1588
195	385	1580
196	385	1572
197	386	1566
198	387	1559
199	387	1551
200	388	1546
201	389	1540
202	390	1534
203	391	1528
204	392	1523
205	393	1516
206	394	1510
207	395	1504
208	396	1499
209	397	1493
210	397	1488
211	398	1482
212	399	1476
